CUI	CODE
C0375799	V12.09
C0009324	556.9
C0085580	401.9
C0868892	311
C0029456	733.00
C0700613	300.00
C0024620	155.0
C0027498	787.01
C0155626	410.90
C0040147	245.9
C0700625	995.3
C0032650	727.51
C0004604	724.5
C0375113	250.00
C0004238	427.31
C0002871	285.9
C0155886	493.90
C0022408	716.90
C0018802	428.0
C0375134	250.50
C0004606	362.01
C0006277	490
C0026893	729.1
C0158280	723.0
C0155764	447.9
C0020498	721.6
C0086543	366.9
C0490011	780.39
C0003873	714.0
C0040128	246.9
C0008325	575.10
C0476550	V08
C0235880	355.9
C0036220	176.9
C0032305	136.3
C0375094	202.80
C1456263	070.70
C0678189	272.0
C0037944	724.00
C0027831	237.71
C0028754	278.00
C0029569	526.2
C0007859	723.1
C0024031	724.2
C0260729	V49.9
C0030196	729.5
C1456321	307.89
C0154455	300.09
C0260851	V70.0
C0260526	V18.0
C0260390	V06.1
C1455982	V72.31
C0260914	V76.2
C1261325	V16.3
C1455889	795.01
C0490031	V76.10
C2921109	724.03
C0391994	V45.4
C0878734	V67.00
C0158292	724.6
C0265678	756.15
C0029579	518.89
C0494025	008.45
C2350019	793.11
C0348494	272.4
C0162316	280.9
C1272092	790.21
C0497406	278.02
C0020621	276.8
C0478148	338.29
C0838227	719.46
C0158262	722.4
C2921108	724.02
C0158253	722.0
C0158249	721.8
C0029513	620.2
C0029512	558.9
C0041889	625.9
C0007645	682.9
C0157702	682.6
C0695252	780.79
C0020474	272.2
C0158276	722.91
C0029625	780.99
C0264222	465.9
C0520679	327.23
C1442952	723.4
C0158244	721.3
C0260518	V17.1
C2363337	V46.2
C1532320	V16.42
C0260507	V16.1
C2911049	V85.25
C0158241	721.0
C0158297	724.8
C0490033	V76.12
C1135308	V58.78
C0728950	787.03
C0158255	722.10
C0038017	756.12
C0158242	721.1
C0260698	V45.89
C0260756	V54.89
C0375897	V72.84
C0023895	573.9
C0348751	573.8
C0018681	784.0
C1281729	836.0
C0260684	V44.2
C0878742	V76.51
C0004997	220
C0013362	784.51
C0375116	250.03
C0011991	787.91
C0344304	789.07
C0042029	599.0
C1719392	338.18
C0345904	155.2
C0012243	239.0
C0347277	211.5
C0024103	611.72
C2830589	793.81
C0949148	793.89
C0037619	610.0
C0156319	610.8
C1305875	610.2
C0154138	242.00
C0375894	V72.81
C0158283	723.7
C0158535	741.91
C0878736	V67.09
C0158056	717.2
C0271680	357.2
C0496739	V45.01
C2074673	428.32
C0028756	278.01
C0376128	250.52
C0085096	443.9
C0080174	756.17
C0375139	250.62
C2712367	784.59
C2921314	V85.43
C0476706	V45.77
C0023798	214.9
C0260496	V15.29
C2712561	V72.62
C0027343	703.0
C0263723	713.1
C0281856	780.96
C0159973	836.2
C1719693	V58.32
C0375115	250.02
C1135196	428.30
C0260506	V16.0
C1260452	V04.81
C1455890	795.02
C0022602	702.0
C0343642	078.10
C0004998	216.9
C0153988	216.6
C0375871	V58.69
C0949146	793.80
C0157965	715.96
C0157953	715.36
C0158227	719.86
C0348742	569.49
C2911144	V15.86
C0158360	728.71
C0160085	844.9
C0158155	719.06
C0158057	717.3
C0042485	459.81
C2607914	477.9
C1135335	454.9
C1135336	627.2
C0392682	796.2
C0023800	214.8
C0344225	V45.51
C0023534	623.5
C0260572	V25.42
C2921303	V25.12
C0158326	727.89
C0042548	078.12
C0036508	690.10
C0023654	698.3
C0154721	345.90
C0544008	371.57
C0375114	250.01
C0155110	371.22
C0015310	378.10
C0010043	370.00
C0490025	V45.69
C0260889	V73.89
C0085655	710.4
C0260968	V82.9
C0029844	368.8
C0030197	379.91
C0158265	722.52
C0156081	535.50
C0260783	V58.89
C1455885	795.00
C1455892	795.04
C0260925	V77.1
C0007868	622.10
C0156409	627.3
C0019693	042
C0949168	V70.7
C0029484	E928.8
C0375489	709.09
C0157726	700
C0154049	228.01
C0260486	V14.2
C0490027	V45.72
C0022548	701.4
C0699916	V76.44
C0481850	V71.89
C0348743	569.89
C0375841	V43.65
C0038436	309.81
C0040335	V15.82
C1135297	V54.81
C0155668	412
C3161111	518.52
C2911054	V85.33
C0263758	715.16
C0496955	238.2
C0375488	702.19
C0153987	216.5
C0154132	239.2
C0260823	V65.3
C0043096	783.21
C0265027	448.1
C0158049	716.96
C0376379	054.2
C0851140	233.1
C0349459	622.12
C0159131	796.9
C0153990	216.8
C0024207	289.3
C2937222	556.2
C0728984	V41.0
C0029824	306.8
C0041636	553.1
C0156166	562.10
C0041893	553.20
C0158298	724.9
C0029537	786.59
C0154588	309.28
C0158291	724.4
C0375548	787.02
C0476206	780.4
C0232286	786.51
C0032026	696.3
C0028840	365.04
C0271761	241.1
C0154941	365.02
C0859673	356.9
C0039223	094.0
C0003892	713.5
C1961134	V72.0
C0027092	367.1
C0008031	786.50
C0042870	268.9
C0018916	228.00
C0014511	706.2
C0302431	V62.89
C0029882	382.9
C1719538	600.00
C0022578	371.60
C0027430	471.9
C0033074	388.01
C0376358	185
C0268701	593.9
C0375004	070.30
C0157959	715.90
C1561641	585.4
C2349268	204.10
C0017601	365.9
C0375291	434.91
C3161069	173.90
C0553977	421.0
C0260675	V43.3
C0017168	530.81
C2937358	431
C0021355	380.10
C0837133	414.00
C0434685	836.3
C0158115	718.46
C0263687	711.06
C0036528	197.6
C0546837	150.9
C0153415	150.5
C0036440	737.30
C0152091	733.90
C0375487	692.9
C1719452	389.11
C2349913	V87.41
C0260497	V15.3
C0153417	151.0
C0475534	285.22
C0375362	568.0
C0260817	V64.1
C0029481	790.6
C0260503	V15.81
C0004991	211.3
C0265035	455.0
C0375006	070.32
C0375130	250.40
C1384666	389.9
C0494574	403.90
C0027699	583.81
C1561643	585.9
C1455979	V58.67
C0340419	425.4
C0375861	V53.32
C0159036	781.99
C1955521	789.59
C0033774	698.9
C0154088	233.4
C0155670	414.8
C0002395	331.0
C1955718	200.70
C0157736	706.8
C0837134	414.01
C0018799	429.9
C2242765	738.4
C1260443	790.29
C0026848	359.9
C0015230	782.1
C2712629	453.40
C0013415	300.4
C0153494	163.9
C0154033	225.2
C0007194	425.11
C0013428	788.1
C0868752	728.2
C1442903	726.91
C0838222	719.41
C0158312	726.5
C0158369	729.81
C0158210	719.65
C0158111	718.42
C0158152	719.03
C0158208	719.63
C0158222	719.81
C0178415	790.93
C0007286	354.0
C1288279	354.2
C0012766	782.0
C0155583	401.1
C1260419	600.01
C0149516	473.9
C0917805	435.9
C0037859	608.1
C0017412	608.9
C0311223	726.0
C0157960	715.91
C0489982	275.49
C0157948	715.31
C0409894	712.31
C2911500	V45.02
C0035204	519.9
C0080274	788.20
C0010200	786.2
C0029601	786.09
C0489983	438.0
C0375555	789.09
C0000737	789.00
C0157952	715.35
C0158226	719.85
C0013404	786.05
C0264490	518.81
C3161126	793.19
C0029544	491.8
C0348773	V65.49
C1456428	294.9
C0582114	V49.86
C0375892	V66.7
C1135261	795.39
C0153115	079.3
C0700292	799.02
C0375766	V03.82
C1719378	331.83
C0014457	288.3
C0030591	427.1
C1955570	V12.54
C0375023	079.6
C0155913	516.8
C0375549	788.29
C0039104	727.00
C0158153	719.04
C0006742	574.20
C0158266	722.6
C0156205	574.21
C1176342	493.92
C0490065	V71.9
C2911178	V58.61
C0005745	374.30
C0376117	702.11
C0036502	706.9
C1176339	493.02
C0155001	368.10
C0029711	V50.1
C0036454	368.40
C0155852	478.5
C1527344	784.42
C1561612	478.79
C3161052	173.41
C0155178	373.32
C0236650	290.40
C0751295	780.93
C0751908	386.12
C0155204	374.41
C0155193	374.11
C3161070	173.91
C0009806	564.00
C3161049	173.31
C0348588	413.9
C0375264	414.04
C0029669	729.89
C0153467	158.9
C0347071	199.1
C0002965	411.1
C0037928	336.9
C0033075	367.4
C0339670	367.9
C0020676	244.9
C0151779	172.9
C3161371	173.9
C1456308	296.89
C0037315	780.57
C2921132	787.60
C0036341	295.90
C0030286	577.9
C0159092	793.6
C0029771	577.8
C0260410	V10.05
C0494741	537.9
C0156079	535.40
C0040034	287.5
C0042024	788.30
C0020461	276.7
C0029546	571.8
C0154154	242.90
C0452138	389.18
C0018021	240.9
C0007102	153.9
C0086692	229.9
C0260449	V10.83
C0036278	709.2
C0019362	053.20
C0375804	V12.72
C0260429	V10.46
C0029459	733.01
C1112533	172.6
C0030567	332.0
C0005586	296.80
C0260421	V10.3
C0154516	305.03
C0261784	E932.0
C0375729	998.59
C0375873	V58.81
C0374989	041.10
C0016205	787.3
C2910630	V82.81
C0332544	783.1
C0868767	958.3
C0154661	324.1
C1260466	V58.65
C0375727	998.13
C0029748	041.89
C0261585	E878.8
C0030252	785.1
C0002758	569.42
C0036396	724.3
C2911205	V58.66
C0019158	573.3
C0022823	737.10
C0271166	366.16
C0007820	437.9
C0020649	458.9
C2830475	790.22
C0375852	V45.82
C0410376	730.28
C0375800	V12.51
C0155648	410.50
C0260780	V58.2
C0022661	585.6
C0481496	V45.11
C0041327	011.90
C1879328	369.00
C0575081	781.2
C0156313	608.4
C0221540	780.09
C0746674	728.87
C0016665	733.82
C0274338	996.2
C0838226	719.45
C0002896	285.0
C0302491	733.13
C0339573	365.11
C0033825	V43.1
C0155201	374.32
C0013238	375.15
C0490039	041.04
C0260795	V60.4
C0029443	730.20
C0161785	996.67
C2712619	453.41
C0041849	136.9
C0374991	041.19
C1561640	585.3
C0242383	362.50
C0032811	V45.81
C1561655	996.41
C1561639	585.2
C0261579	E878.1
C0260484	V14.0
C0375843	V43.69
C0261378	E849.7
C0161763	996.1
C1561666	996.49
C0375087	202.00
C0154298	285.1
C0418696	E878.4
C0261380	E849.9
C0260745	V53.99
C0153690	198.5
C0011175	276.51
C0159055	786.6
C0039231	785.0
C0476359	793.0
C0042347	454.1
C0040261	110.1
C0161792	996.74
C0158285	723.9
C3161088	365.73
C3161085	365.70
C1135281	V54.13
C0878750	E885.9
C0159858	823.10
C0159835	821.10
C1135283	V54.15
C1135284	V54.16
C0159833	821.01
C2349852	V15.51
C0409887	712.39
C0159870	823.80
C0157874	712.30
C3161050	173.32
C0152110	355.1
C0868862	720.2
C0348626	427.89
C2349799	999.89
C0261596	E879.8
C0160778	905.4
C0159821	820.19
C0152227	375.20
C0339594	365.65
C3161087	365.72
C0260847	V68.89
C0348188	052.9
C0011168	787.20
C0341106	530.13
C0029485	706.1
C0005411	751.61
C0160238	852.20
C0751362	347.01
C0007570	579.0
C0490015	V12.49
C0024141	710.0
C1260404	289.81
C0398650	287.31
C0260461	V11.8
C0154522	305.23
C0085160	705.83
C0029505	959.4
C0160068	842.10
C0423665	719.44
C0038843	V22.1
C0260550	V22.0
C0490052	696.1
C0260598	V28.89
C0036262	133.0
C2910575	V74.1
C1260454	V04.89
C0039070	780.2
C2910614	V77.91
C1176345	645.13
C0161744	993.0
C0156769	646.83
C0156769	646.80
C0260559	V23.89
C2349862	V28.3
C0157105	656.10
C0157107	656.13
C0260399	V07.2
C0260564	V24.2
C0029819	623.8
C0029624	V25.09
C0473508	666.24
C0158488	736.79
C1455988	V72.41
C0242490	726.90
C0159093	793.7
C0000827	919.0
C0261202	E826.1
C0155878	493.00
C1384485	650
C2921392	V12.69
C0695247	659.71
C1313895	V27.0
C0156886	648.91
C0157106	656.11
C1812626	664.01
C0157481	669.82
C0260535	V19.8
C0878711	V15.05
C0013396	536.8
C0375805	V12.79
C0260492	V14.8
C0156072	535.10
C0260591	V28.9
C0158331	727.06
C0157129	656.73
C0157127	656.70
C0451636	V22.2
C0018834	787.1
C0014858	530.5
C0348727	530.89
C0159059	787.4
C1456240	347.00
C0497156	785.6
C0157705	683
C0008827	571.5
C0700297	V02.51
C0260489	V14.5
C2911051	V85.30
C0027719	587
C1961127	V74.5
C0015263	493.81
C0040336	305.1
C0348768	690.18
C0002170	704.00
C0375900	V73.98
C0020541	572.3
C3161127	795.51
C2911057	V85.36
C0152165	536.2
C0036464	V82.89
C0375179	305.20
C0520474	733.40
C0155871	487.8
C0001361	463
C0021361	628.9
C0011302	341.9
C0878708	790.09
C0154748	355.0
C0260956	V81.2
C0236663	291.81
C0678202	555.9
C0278061	780.97
C0339951	486
C0348731	537.89
C0156083	535.60
C0424000	V62.84
C0155862	481
C0154471	303.01
C0851311	V65.5
C1719690	V58.30
C0157698	682.2
C0018524	780.1
C0015967	780.60
C0004626	482.9
C0235299	789.01
C0029489	704.09
C0036508	706.3
C2712343	477.8
C0375815	V25.9
C0494831	691.8
C0260576	V26.9
C0160111	847.9
C0235653	174.9
C0374997	041.86
C0494165	197.7
C0375239	346.90
C0687719	279.49
C1112782	172.5
C0027703	583.9
C0156237	583.4
C1561828	285.21
C0023530	288.50
C0260502	V15.89
C1261281	996.81
C0031154	567.9
C0838228	719.47
C0153519	171.9
C0949022	154.1
C0549397	470
C0006840	112.9
C0375267	415.19
C0029496	286.9
C0400806	531.90
C0041844	455.6
C0375086	201.90
C0153688	198.3
C0039494	524.60
C0001309	372.05
C0007115	193
C0027868	358.9
C2349260	203.00
C0157731	703.8
C0007644	681.9
C0156324	611.79
C0018621	477.0
C0677491	V42.0
C1455977	V58.44
C0029781	593.89
C0157691	681.00
C0157692	681.02
C0159057	786.9
C0153521	171.2
C0158506	737.9
C0878714	V15.09
C0041847	701.9
C0260448	V10.82
C0260514	V16.8
C0153687	198.2
C0153537	172.8
C0260955	V81.1
C0599986	V26.33
C0153676	197.0
C0153522	171.3
C1561677	V58.11
C0016382	782.62
C1719723	338.19
C0154025	224.3
