	SPOKE	EHR
278	DB01413	254571
279	DB01413	27311
280	DB01413	150119
281	DB01413	150113
282	DB01413	150111
283	DB01413	150117
284	DB01413	150115
285	DB01413	102954
286	DB01413	17593
287	DB01413	17592
288	DB01413	144786
289	DB01413	144787
290	DB01412	212719
291	DB01415	103154
292	DB01415	144265
293	DB01415	14794
294	DB01415	14791
295	DB01415	16153
296	DB01415	16154
297	DB00775	113251
298	DB00775	23050
299	DB00775	235574
300	DB00775	253076
301	DB00775	103815
302	DB00775	23049
303	DB00775	23046
304	DB00775	23045
305	DB00775	113057
306	DB01416	8448
307	DB01416	166131
308	DB01416	166133
309	DB01416	166135
310	DB01416	166137
311	DB01416	166139
312	DB01416	9467
313	DB01416	9466
314	DB01416	9469
315	DB01416	166129
316	DB01416	166157
317	DB01416	166155
318	DB01416	166153
319	DB01416	166151
320	DB01416	9468
321	DB01416	8451
322	DB01416	8450
323	DB01416	166149
324	DB01416	166141
325	DB01416	166143
326	DB01416	166145
327	DB01416	166147
328	DB01416	8449
329	DB00950	170633
330	DB00950	170635
331	DB00950	170637
332	DB00950	40389
333	DB00950	170597
334	DB00950	87923
335	DB00950	170629
336	DB00950	200462
337	DB00950	170623
338	DB00950	184759
339	DB00950	184758
340	DB00950	170639
341	DB00950	170631
342	DB00950	235393
343	DB00950	22254
344	DB00950	194832
345	DB00950	170599
346	DB00950	192109
347	DB00950	192108
348	DB00950	203567
349	DB00950	41036
350	DB00950	170621
351	DB00950	170627
352	DB00950	170625
353	DB00950	170647
354	DB00950	197912
355	DB00950	25425
356	DB00950	195095
357	DB00950	195599
358	DB00950	184770
359	DB00950	170655
360	DB00950	170653
361	DB00950	170651
362	DB00950	27522
363	DB00950	203269
364	DB00950	195600
365	DB00950	89421
366	DB00950	198723
367	DB00950	28170
368	DB00950	220941
369	DB00950	27195
370	DB00950	184768
371	DB00950	184769
372	DB00950	184764
373	DB00950	184765
374	DB00950	184766
375	DB00950	184767
376	DB00950	184760
377	DB00950	184761
378	DB00950	184762
379	DB00950	184763
380	DB00950	17588
381	DB00950	17586
382	DB00950	170641
383	DB00950	170643
384	DB00950	170645
385	DB00950	170649
386	DB00950	170613
387	DB00950	170611
388	DB00950	170617
389	DB00950	170615
390	DB00950	170619
391	DB00950	192134
392	DB00950	224053
393	DB00950	195608
394	DB00950	195601
395	DB00950	195607
396	DB00950	184757
397	DB00950	184756
398	DB00950	217806
399	DB00950	170605
400	DB00950	28366
401	DB00950	28367
402	DB00950	261930
403	DB00950	78149
404	DB00950	78148
405	DB00950	216104
406	DB00950	21529
407	DB00950	170607
408	DB00950	170601
409	DB00950	170603
410	DB00950	170609
411	DB00950	200539
412	DB00237	233456
413	DB00237	10932
414	DB00237	103617
415	DB00237	41894
416	DB00237	235206
417	DB00237	245964
418	DB00237	245965
419	DB00237	245966
420	DB00237	245967
421	DB00237	245960
422	DB00237	245961
423	DB00237	245962
424	DB00237	245963
425	DB00237	245968
426	DB00237	102925
427	DB00237	236841
428	DB00237	103651
429	DB00237	9326
430	DB00237	245285
431	DB00237	245284
432	DB00237	245287
433	DB00237	245286
434	DB00237	245283
435	DB00237	245959
436	DB00237	245958
437	DB00237	245957
438	DB00237	94026
439	DB00237	229393
440	DB00237	102290
441	DB00237	1237
442	DB00237	37323
443	DB00237	238705
444	DB00237	6743
445	DB00237	1234
446	DB00237	1233
447	DB00237	1238
448	DB00237	1239
449	DB00237	37229
450	DB00237	43428
451	DB00957	213714
452	DB00957	34661
453	DB00957	25030
454	DB00957	10750
455	DB00957	38363
456	DB00957	207537
457	DB00957	207536
458	DB00957	26950
459	DB00957	213721
460	DB00957	185024
461	DB00957	185025
462	DB00957	185020
463	DB00957	185021
464	DB00957	185022
465	DB00957	185023
466	DB00957	185312
467	DB00957	185313
468	DB00957	185311
469	DB00957	185316
470	DB00957	185317
471	DB00957	185314
