CUI	CODE
C0232255	D006337
C0020903	D007088
C0004369	D007088
C0237659	D007088
C0751243	D007088
C0751244	D007088
C0751245	D007088
C0751246	D007088
C0040259	D014008
C0019937	D006732
C0751203	D006732
C0751204	D006732
C0338567	D006732
C0751206	D006732
C0751205	D006732
C0036659	D012678
C0152027	D012678
C0751497	D012678
C0018926	D006396
C0857305	D011696
C0018780	D006316
C0023374	D007926
C0015938	D005320
C0001825	D000381
C0750890	D000381
C0750893	D000381
C0750895	D000381
C0750896	D000381
C0234144	D000381
C0039070	D013575
C0751539	D013575
C0259813	D013575
C0751535	D013575
C0221046	D013575
C0751536	D013575
C0751537	D013575
C0235242	D013575
C0751534	D013575
C0751538	D013575
C0340855	D013575
C0234437	D013575
C0700200	D013575
C0340854	D013575
C0339780	D013575
C0234435	D013575
C0007370	D002375
C0233612	D002375
C3203358	D007040
C0242706	D018496
C0020305	D015160
C0455988	D015160
C0455990	D015160
C0474368	D048949
C0000737	D015746
C0004158	D001264
C0011103	D003655
C0231474	D003655
C0231521	D003655
C0751070	D003655
C0025261	D008569
C0751294	D008569
C0751292	D008569
C0751293	D008569
C0233794	D008569
C0751295	D008569
C0005911	D001836
C0751595	D015325
C0034345	D015325
C0751596	D015325
C0751597	D015325
C0278076	D020323
C0751898	D020323
C0751900	D020323
C0751899	D020323
C0751901	D020323
C0206160	D045262
C0018979	D006423
C0544680	D006423
C0271205	D006423
C0271208	D006423
C0221184	D006423
C0271202	D006423
C0016204	D005414
C0162309	D000326
C1527231	D000326
C0003578	D001049
C0393777	D020183
C0038506	D013342
C0454542	D013342
C0751527	D013342
C0751528	D013342
C0751529	D013342
C3489627	D013342
C0038131	D013342
C0030201	D010149
C0042798	D015354
C0751903	D020324
C0233795	D020324
C2717757	D055955
C0027125	D009222
C0751359	D009222
C0751358	D009222
C0015967	D005334
C0015469	D005158
C0751141	D005158
C0751142	D005158
C0427055	D005158
C0751143	D005158
C0751759	D020178
C0877792	D020178
C0494410	D020178
C0751760	D020178
C0393770	D020178
C0751758	D020178
C0151827	D058447
C0013384	D020820
C0221169	D020820
C0427086	D020820
C0232766	D020820
C0752196	D020820
C0002064	D000472
C0029139	D009903
C0042571	D014717
C0155503	D014717
C0234757	D014717
C0522359	D014717
C0522349	D014717
C0751573	D014717
C0522357	D014717
C0155501	D014717
C0522351	D014717
C0033790	D020828
C0748038	D020828
C0752216	D020828
C0085631	D011595
C0392156	D011595
C0009460	D003147
C0751048	D003147
C0751050	D003147
C0751051	D003147
C0751047	D003147
C0751049	D003147
C0751052	D003147
C0007462	D002422
C0033687	D011507
C0751706	D057178
C0003550	D001039
C0917814	D001039
C0454573	D001039
C0750922	D001039
C0242186	D001039
C0009421	D003128
C0860634	D003128
C0525041	D019954
C0005612	D001724
C0019048	D006456
C1313921	D053584
C0026846	D009133
C0270948	D009133
C0311277	D056128
C2936179	D056128
C0086523	D014826
C0042928	D014826
C0396058	D014826
C0751575	D014826
C0751576	D014826
C0542142	D014826
C0396061	D014826
C0751574	D014826
C0751577	D014826
C0025287	D008580
C0752303	D020924
C0023015	D007806
C0454560	D007806
C0002963	D000788
C0242453	D053448
C1568248	D052245
C0271097	D052245
C2931205	D052245
C1568249	D052245
C0085628	D053608
C0234447	D053608
C0206085	D017593
C2936703	D017593
C0013491	D004438
C0015930	D005316
C0456511	D020188
C0007166	D002303
C0600177	D002303
C0001816	D000377
C0454653	D000377
C0234501	D000377
C0234511	D000377
C0395013	D000377
C0234509	D000377
C0234510	D000377
C0234503	D000377
C0563624	D000377
C0422891	D000377
C0459888	D000377
C0234505	D000377
C0234504	D000377
C0234506	D000377
C0271189	D000377
C0234502	D000377
C0563622	D000377
C0563621	D000377
C0563625	D000377
C0563626	D000377
C0936244	D005862
C0017494	D005862
