CUI	Node_ID	Node_Type
C1538275	10218	Gene
C1412744	29994	Gene
C1412745	8424	Gene
C1412746	582	Gene
C1417995	4992	Gene
C1412740	10538	Gene
C1412741	11177	Gene
C1823179	84964	Gene
C1412743	11176	Gene
C1823177	54784	Gene
C1823176	221120	Gene
C1823175	121642	Gene
C1823174	8846	Gene
C1823173	199857	Gene
C1823172	79868	Gene
C1823170	64400	Gene
C1413299	1041	Gene
C1413298	8760	Gene
C1413291	8814	Gene
C1413290	1025	Gene
C1413292	1032	Gene
C1413295	1036	Gene
C1413297	1040	Gene
C1413296	1039	Gene
C0423791	C0423791	SideEffect
C0423798	C0423798	SideEffect
C0751837	C0751837	SideEffect
C0751836	D020234	Symptom
C0040034	C0040034	SideEffect
C0036439	C0036439	SideEffect
C1422044	57198	Gene
C1422045	148229	Gene
C1422046	79895	Gene
C1422040	10330	Gene
C1422041	10329	Gene
C1422042	10396	Gene
C1422043	30012	Gene
C1422048	57787	Gene
C1422049	57085	Gene
C1427674	28962	Gene
C1427675	10210	Gene
C1427677	645922	Gene
C1427670	51142	Gene
C1427672	54543	Gene
C1427673	353500	Gene
C1419844	6317	Gene
C1419845	6318	Gene
C1419842	51282	Gene
C1419840	10066	Gene
C1419841	10067	Gene
C1419848	8796	Gene
C1418467	23481	Gene
C1418466	8863	Gene
C1418465	8864	Gene
C1421631	7561	Gene
C1418463	5185	Gene
C1421637	7705	Gene
C1421634	7701	Gene
C1421635	7702	Gene
C1421638	7706	Gene
C1421639	7707	Gene
C1418469	5189	Gene
C1419598	9475	Gene
C1419599	9991	Gene
C1419596	6091	Gene
C1419597	6092	Gene
C1824680	146722	Gene
C1824681	146894	Gene
C1824682	166979	Gene
C1824684	8872	Gene
C1824685	55536	Gene
C1824686	200008	Gene
C1824687	79800	Gene
C1824687	55602	Gene
C1824688	30850	Gene
C0041909	C0041909	SideEffect
C0232132	C0232132	SideEffect
C0920274	4070	Gene
C0920270	3195	Gene
C1826686	729528	Gene
C1826687	653619	Gene
C1826684	390999	Gene
C1826682	343071	Gene
C1826683	440560	Gene
C1826680	391002	Gene
C1826681	343070	Gene
C1826688	654348	Gene
C1826689	391004	Gene
C3665444	C3665444	SideEffect
C1419338	5972	Gene
C1419339	5973	Gene
C1419330	5962	Gene
C1419333	5967	Gene
C1419334	5968	Gene
C1419336	5971	Gene
C1419337	5649	Gene
C1825791	55323	Gene
C1825790	23185	Gene
